Name of Institute	Branch	Delhi	Outside Delhi
Maharaja Surajmal Institute Technology	Computer Science & Engineering (Shift II)	Min Rank - 98763 Max Rank - 123155	Min Rank - 38142 Max Rank - 64997
Maharaja Surajmal Institute Technology	Electrical & Electronics Engineering	Min Rank - 133485 Max Rank - 268614	Min Rank - 85818 Max Rank - 88974
Maharaja Surajmal Institute Technology	Electronics & Communication Engineering (Shift I)	Min Rank - 100021 Max Rank - 199561	Min Rank - 73762 Max Rank - 82193
Maharaja Surajmal Institute Technology	Electronics & Communication Engineering (Shift II)	Min Rank - 160989 Max Rank - 215297	Min Rank - 82566 Max Rank - 85518
Maharaja Surajmal Institute Technology	Information Technology (Shift I)	Min Rank - 118748 Max Rank - 149164	Min Rank - 65998 Max Rank - 70646
Maharaja Surajmal Institute Technology	Information Technology (Shift II)	Min Rank - 123150 Max Rank - 155081	Min Rank - 70690 Max Rank - 72620
Shri Balwant Institute of Technology	Computer Science & Engineering	Min Rank - 383160 Max Rank - 1342898	Min Rank - 200557 Max Rank - 243432
Shri Balwant Institute of Technology	Electrical & Electronics Engineering	Min Rank - 787235 Max Rank - 1096075	Min Rank - 208530 Max Rank - 208530
Shri Balwant Institute of Technology	Electronics & Communication Engineering	Min Rank - 380448 Max Rank - 1155077	Min Rank - 180700 Max Rank - 180700
Shri Balwant Institute of Technology	Information Technology	Min Rank - 487648 Max Rank - 1116909	Min Rank - 210367 Max Rank - 244669
Shri Balwant Institute of Technology	Mechanical Engineering	Min Rank - 396268 Max Rank - 1427444	Min Rank - 254114 Max Rank - 254739
Tribhuvan College	B.Tech (AI&DS)	Min Rank - 1138263 Max Rank - 1138263	Min Rank - 258488 Max Rank - 265983
Tribhuvan College	B.Tech (AI&ML)	Min Rank - 1427356 Max Rank - 1427356	Min Rank - 224281 Max Rank - 266811
Tribhuvan College	Computer Science & Engineering	Min Rank - 408711 Max Rank - 1158265	Min Rank - 254365 Max Rank - 269242
Trinity Institute of Innovations in Professional Studies	Computer Science & Engineering	Min Rank - 52002 Max Rank - 948497	Min Rank - 188911 Max Rank - 224014
Trinity Institute of Innovations in Professional Studies	Computer Science & Technology	Min Rank - 438565 Max Rank - 1412818	Min Rank - 209806 Max Rank - 247730
Trinity Institute of Innovations in Professional Studies	CSE-AIML	Min Rank - 342413 Max Rank - 1388026	Min Rank - 163251 Max Rank - 249219
Trinity Institute of Innovations in Professional Studies	Information Technology	Min Rank - 697488 Max Rank - 1375947	Min Rank - 157436 Max Rank - 204689
University School of Automation & Robotics	B.Tech./M. Tech. (DD) (AI-DS)	Min Rank - 62074 Max Rank - 116805	Min Rank - 47706 Max Rank - 68845
University School of Automation & Robotics	B.Tech./M. Tech. (DD) (AI-ML)	Min Rank - 53495 Max Rank - 122653	Min Rank - 55448 Max Rank - 72354
University School of Automation & Robotics	B.Tech./M. Tech. (DD) (AR)	Min Rank - 88310 Max Rank - 207300	Min Rank - 54262 Max Rank - 85427
University School of Automation & Robotics	B.Tech./M. Tech. (DD) (IIOT)	Min Rank - 124403 Max Rank - 203772	Min Rank - 74987 Max Rank - 91639
University School of Chemical Technology	B. Tech. (Energy)	Min Rank - 192420 Max Rank - 373904	Min Rank - 77926 Max Rank - 143287
University School of Chemical Technology	B. Tech./M. Tech. (Dual Degree in Chemical Engineering	Min Rank - 117814 Max Rank - 388718	Min Rank - 111242 Max Rank - 159799
University School of Information & Communication Technology 	B. Tech./M. Tech.(DD) (CSE)	Min Rank - 6566 Max Rank - 51798	Min Rank - 12955 Max Rank - 35838
University School of Information & Communication Technology	B. Tech./M. Tech.(DD) (ECE)	Min Rank - 38907 Max Rank - 73324	Min Rank - 43143 Max Rank - 54854
University School of Information & Communication Technology	B. Tech./M. Tech.(DD) (IT)	Min Rank - 55582 Max Rank - 61607	Min Rank - 38047 Max Rank - 45706
University School of Information & Communication Technology	B. Tech/M. Tech.(DD) (CSE-AI)	Min Rank - 31036 Max Rank - 45729	Min Rank - 16413 Max Rank - 37487
University School of Information & Communication Technology	B. Tech/M. Tech.(DD) (CSE-DS)	Min Rank - 48858 Max Rank - 55844	Min Rank - 37840 Max Rank - 42737
Vivekananda Institute of Professional Studies	Artificial Intelligence & Data Science	Min Rank - 91961 Max Rank - 281411	Min Rank - 94880 Max Rank - 130061
Vivekananda Institute of Professional Studies	Artificial Intelligence & Machine Learning	Min Rank - 187109 Max Rank - 290309	Min Rank - 106550 Max Rank - 134040
Vivekananda Institute of Professional Studies	B. Tech. (Computer Science & Applied Mathematics)	Min Rank - 207957 Max Rank - 308071	Min Rank - 111004 Max Rank - 148360
Vivekananda Institute of Professional Studies	Computer Science & Engineering	Min Rank - 79209 Max Rank - 230736	Min Rank - 62327 Max Rank - 107324
Vivekananda Institute of Professional Studies	CSE (Cyber Security)	Min Rank - 127345 Max Rank - 273530	Min Rank - 83432 Max Rank - 123527
Vivekananda Institute of Professional Studies	Electronics Engg.- VLSI Design & Technology	Min Rank - 223341 Max Rank - 420571	Min Rank - 116806 Max Rank - 169716
Vivekananda Institute of Professional Studies	Industrial Internet of Things	Min Rank - 261859 Max Rank - 382513	Min Rank - 136599 Max Rank - 157905
